time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
727972200,43.9688,43.96899,43.75,43.938,43.938,43.9688,43.96899,43.75,1003200,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,43.88566333333333,0.11925686589068059,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728577000,43.96875,45.09375,43.96875,44.96875,44.96875,43.96875,45.09375,43.96875,2234800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,44.431884894791025,1.2082879366477517,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729181800,44.96875,45.125,44.53125,44.59375,44.59375,44.96875,45.125,44.53125,1159800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51577909166705,0.1751534173363399,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
729786600,44.46875,44.46875,42.8125,43.5625,43.5625,44.46875,44.46875,42.8125,998700,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.34899984514655,-1.7734331053524848,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
730391400,43.6875,44.4375,43.46875,44.40625,44.40625,43.6875,44.4375,43.46875,1024300,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.30994199803763,0.21735077415952284,,,1,,,0,1,0,0,,,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
730996200,44.5625,45.1875,44.21875,44.75,44.75,44.5625,45.1875,44.21875,658500,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.34796836636391,0.906539010569459,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0
731601000,44.84375,45.84375,44.8125,45.09375,45.09375,44.84375,45.84375,44.8125,1129000,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.47203713996809,1.3979860155161739,,,1,,,1,0,0,0,,,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0
732205800,45.0625,45.5,44.96875,45.03125,45.03125,45.0625,45.5,44.96875,489600,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.511137453408296,1.1684997875781729,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0
732810600,44.59375,45.25,44.5625,44.90625,44.90625,44.59375,45.25,44.5625,487400,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44.532103328797106,0.84017291624523,,,1,,,1,0,0,0,,,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0
733415400,44.9375,45.46875,44.09375,44.09375,44.09375,44.9375,45.46875,44.09375,443600,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.53302380050335,-0.9864001206636808,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0
734016600,44.4375,44.53125,44.0625,44.28125,44.28125,44.4375,44.53125,44.0625,510700,,,,,-1,41.6250702,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44.520867395097774,-0.5382136717402736,,,1,,,0,1,0,0,,,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0
734621400,44.71875,45.15625,44.65625,44.9375,44.9375,44.71875,45.15625,44.65625,810700,,,,,-1,42.23912568,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55017019679827,0.8694238461732451,,,1,,,0,0,0,0,,,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0
735226200,44.9375,45.0625,43.6875,43.75,43.75,44.9375,45.0625,43.6875,708100,,,,,-1,42.23912568,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44.52687721922963,-1.7447377129203343,,,1,,,0,0,0,0,,,0,0,0,0,0,4,0,0,0,5,3,0,0,0,0
735831000,43.78125,44.28125,43.28125,44.03125,44.03125,43.78125,44.28125,43.28125,478800,,,,0.9352492857142854,-1,42.23912568,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44.500750409704615,-1.055039309184835,,,1,,,0,1,0,0,,,0,0,0,0,0,5,0,0,0,6,3,0,0,0,0
736435800,44.09375,44.75,43.90625,44.34375,44.34375,44.09375,44.75,43.90625,461300,,,52.67178085799887,0.9287136224489794,-1,42.23912568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.494620354751234,-0.3390754962023712,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0
737040600,44.40625,44.6875,43.96875,44,44,44.40625,44.6875,43.96875,380100,,,50.22325579148945,0.9137162208454808,-1,42.23912568,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.48654103018303,-1.0936814122116632,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0
737645400,44.125,45.25,43.84375,44.75,44.75,44.125,45.25,43.84375,509000,,,55.12483322272065,0.9488972050708036,-1,42.23912568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.49137313762271,0.5812966517740299,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0
738250200,44.84375,45.65625,44.84375,45.21875,45.21875,44.84375,45.65625,44.84375,457600,,,57.91422436242151,0.9458509761371747,-1,42.381426784254884,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.51592502540899,1.5788169608737745,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,6,4,0,0,0,0
738855000,45.375,45.8125,45.09375,45.28125,45.28125,45.375,45.8125,45.09375,102200,,,58.28653294647002,0.9296294778416623,-1,42.65578410582939,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44.52232668187708,1.7045904261599139,,,1,,,1,0,0,0,,,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0
739459800,45.375,45.375,44.71875,45.09375,45.09375,45.375,45.375,44.71875,934500,,,56.66694893051123,0.9101023722815436,-1,42.65578410582939,0,0,0,0,0,4,0,0,0,0,0.7425159692695855,0,0,0,0,0,1,0,44.55602013636455,1.2068624217102777,44.556020136364545,1.206862421710294,1.2475053230898618,,,1,0,0,0,,,0,0,0,0,0,0,4,0,0,6,5,0,0,0,0
740064600,45.15625,45.1875,44.5,44.5,44.5,45.15625,45.1875,44.5,633400,44.54913095238095,,51.76201184940709,0.8942022028328618,-1,42.65578410582939,0,0,0,0,1,0,0,0,1,-1,-1.4980197169676177,0,-0.9157315915293105,0,0,0,1,0,44.56304344121898,-0.1414702326203048,44.609549263395856,-0.24557357158895526,0.8669527309558517,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,7,5,0,0,0,0
740669400,44.625,44.90625,44.21875,44.78125,44.78125,44.625,44.90625,44.21875,682900,44.57023268398268,,53.80187733757593,0.8794377597733717,-1,42.65578410582939,0,0,0,0,2,0,0,0,0,0,4.9362321208008035,0,3.5412293395882144,0,0,0,1,0,44.5660759034331,0.48282037896525254,44.599345722117576,0.40786310861106334,1.0457726527924533,,,0,0,0,0,,,0,0,0,0,0,2,0,0,0,7,5,0,0,0,0
741274200,45,45.28125,44.53125,44.6875,44.6875,45,45.28125,44.53125,1976100,44.58089334907516,,52.99736985176297,0.8701922055038451,-1,42.65578410582939,0,0,0,0,3,0,0,0,0,0,7.994559879171087,0,3.8124365847412953,0,0,0,1,0,44.594975910942324,0.20747648623569095,44.620075307174,0.15110842454172485,2.848124527078154,,,0,0,0,0,,,0,0,0,0,0,3,0,0,0,7,5,0,0,0,0
741879000,44.625,44.96875,44.15625,44.96875,44.96875,44.625,44.96875,44.15625,1216500,44.61615304461378,,55.16343222215841,0.866071333682142,-1,42.65578410582939,0,0,0,0,4,0,0,0,0,0,10.321135304779869,0,8.691589998554406,0,0,0,1,0,44.60140086165439,0.823626906888107,44.69804149549818,0.6056384025888107,1.7262297524531194,,,0,0,0,0,,,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0
742483800,44.90625,45.1875,44.65625,44.75,44.75,44.90625,45.1875,44.65625,2040800,44.628320949648895,,53.113252616040036,0.8421555241334175,-1,42.65578410582939,0,0,0,0,0,1,0,0,1,1,7.993048278188816,0,6.753882477662175,0,0,0,1,0,44.62634572354121,0.2770880618924547,44.76079029568256,-0.02410657991354091,2.7011144347089497,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0
743088600,44.75,44.84375,44.46875,44.71875,44.71875,44.75,44.84375,44.46875,1318000,44.63654177240809,,52.81128939891786,0.808787272409602,-1,42.65578410582939,0,0,0,0,1,0,0,0,0,0,4.047365652973557,0,5.071004898425857,0,0,0,1,0,44.62927234675151,0.2004909525597493,44.75554992348486,-0.08222426838184504,1.671496420486611,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0
743693400,44.84375,45.21875,44.78125,44.84375,44.84375,44.84375,45.21875,44.78125,651200,44.655378884007355,,53.93933339716288,0.7867310386660591,-1,42.764613498929975,0,0,0,0,0,1,0,0,1,1,4.343682245673641,0,6.526089378642613,0,0,0,1,0,44.63810188366637,0.4607008534313965,44.72723768459483,0.2604952182086057,0.8516593101193396,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0
744298200,44.90625,45.1875,44.84375,44.96875,44.96875,44.90625,45.1875,44.84375,996000,44.683867167279416,,55.09534962651142,0.7550895359041977,-1,42.90065214903698,0,0,0,0,0,0,0,0,0,0,8.328212082137515,0,9.551103238992612,0,0,0,1,0,44.65281607179986,0.7075341624414679,44.73081558157001,0.5319250618091133,1.2608472741773162,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
744903000,45.09375,45.34375,44.90625,45.125,45.125,45.09375,45.34375,44.90625,2382500,44.7239701520722,,56.56288762483358,0.7324045690538978,-1,43.09027443413328,0,0,0,0,0,1,0,0,1,1,16.030056970149243,0,13.901424233085692,0,0,0,1,0,44.69466902961263,0.962823933436556,44.7790600509589,0.7725484828118787,2.693003277947327,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,7,7,0,0,0,0
745507800,45.15625,45.875,45.15625,45.8125,45.8125,45.15625,45.875,45.15625,1134600,44.82292741097473,,62.38750659333696,0.7336613855500479,-1,43.45937199071995,0,0,0,0,0,2,0,0,2,1,27.679076860457528,0,29.430941836401047,0,0,0,1,0,44.73192677555309,2.4156643863538285,44.836099571661684,2.1777104557851468,1.2342670655425618,,,0,0,0,0,,,0,0,0,0,0,0,2,0,0,7,8,0,0,0,0
746112600,45.625,46.53125,45.625,46.25,46.25,45.625,46.53125,45.625,677000,44.9526612827043,,65.55304408332036,0.7459891437250444,-1,43.955622291647956,0,0,0,0,0,3,0,0,3,1,33.97130898406615,0,43.70022510236849,1,0,0,1,0,44.765043988895435,3.3172222760976795,44.89850379982356,3.010114114719682,0.7298679876881944,,,1,0,0,0,,,0,0,0,0,0,0,3,0,0,7,9,0,0,0,0
746717400,46.28125,46.59375,46.25,46.375,46.375,46.28125,46.59375,46.25,1489400,45.08196480245845,,66.42256394452443,0.7172577763161126,-1,44.40849756248316,0,0,0,0,0,4,0,0,4,1,37.702078786648755,0,51.89591663626206,1,0,0,0,1,44.846037624907645,3.4093589000673816,45.01451589313572,3.022323088165739,1.5490379615184608,,,2,0,0,0,,,0,0,0,0,0,0,4,0,0,7,10,0,0,0,0
747322200,46.375,46.4375,45.59375,46.40625,46.40625,46.375,46.4375,45.59375,812000,45.20235436587132,,66.6492158625662,0.7262929351506761,-1,44.40849756248316,0,0,0,0,0,5,0,0,5,1,32.671718643183326,0,53.5744520707039,1,0,0,0,0,44.8800923454428,3.400522536385047,45.093082131644415,2.9121271074838755,0.8399753800319646,,,1,0,0,0,,,0,0,0,0,0,0,5,0,0,7,10,0,0,0,0
747927000,46.5625,46.5625,45.75,45.8125,45.8125,46.5625,46.5625,45.75,607600,45.25782215079211,,58.56090340382015,0.7324505826399135,-1,44.40849756248316,0,0,0,0,0,0,0,0,0,0,14.018930894750588,0,39.408733942154115,1,0,0,0,0,44.902426990728884,2.0267791080847837,45.15291787838617,1.4607740819548667,0.6243738021959954,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0
748531800,45.875,45.96875,44.8125,45.78125,45.78125,45.875,45.96875,44.8125,957700,45.305406500720096,,58.16084383989509,0.7627219695942055,-1,44.40849756248316,0,0,0,0,1,0,0,0,0,0,12.356496195809589,0,30.102290859670195,0,0,0,0,0,44.92061775891548,1.9158958269528812,45.18951406668304,1.3094540747744656,0.9596625098326077,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,8,10,0,0,0,0
749136600,46.125,46.3125,45.8125,46.15625,46.15625,46.125,46.3125,45.8125,775900,45.38275590974554,,61.55493439448344,0.7461882574803337,-1,44.40849756248316,0,0,0,0,2,0,0,0,0,0,20.018990308708972,0,32.32770806891874,0,0,0,0,0,44.9479246215569,2.6882784658395327,45.242109956734424,2.020551305276829,0.7623717139362021,,,0,0,0,0,,,0,0,0,0,0,2,0,0,0,8,10,0,0,0,0
749741400,46.21875,46.375,45.71875,46.0625,46.0625,46.21875,46.375,45.71875,1798000,45.444550827041404,,60.23927065508396,0.7397640962317384,-1,44.40849756248316,0,0,0,0,3,0,0,0,0,0,18.6909691817834,0,30.086066446640235,0,0,0,0,0,45.00443451620341,2.3510249493650304,45.324153543261616,1.6290352913786617,1.6614380957221204,,,0,0,0,0,,,0,0,0,0,0,3,0,0,0,8,11,0,0,0,0
750346200,46.15625,47.15625,46.15625,47.0625,47.0625,46.15625,47.15625,46.15625,2243000,45.59163711549218,,68.07712860016517,0.7650488036437572,-1,44.40849756248316,0,0,0,0,0,1,0,0,1,1,41.195568250986014,1,47.08593204455488,1,0,0,0,0,45.11169378959808,4.324391408357497,45.466297408586684,3.5107380244071966,1.9146965551681014,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,8,12,0,0,0,0
750951000,47.03125,47.03125,46.375,46.375,46.375,47.03125,47.03125,46.375,2279800,45.66285192317471,,59.40678199138987,0.7595096033834887,-1,44.45687955998075,0,0,0,0,0,2,0,0,2,1,48.62456881790276,1,39.170332102811194,1,0,0,0,0,45.1968999777914,2.606594750497251,45.566956521809885,1.7733101788427712,1.780613818931616,,,0,0,0,0,,,0,0,0,0,0,0,2,0,0,8,12,0,0,0,0
